participant,condition,n_samples,duration_s,n_cycles_est,tau,m
001CrMa,silence,38014,380.1,665,17,4
001CrMa,tempo_random,38065,380.6,666,16,4
001CrMa,beatmove_adaptatif,25883,258.8,452,16,4
002CrPa,silence,38005,380.1,665,17,4
002CrPa,beatmove_adaptatif,32007,320.1,560,17,4
002CrPa,tempo_random,36005,360.1,630,17,4
003BrLu,silence,36903,369.0,645,16,4
003BrLu,tempo_random,30116,301.2,527,18,4
003BrLu,beatmove_adaptatif,38109,381.1,666,18,4
004CaGe,silence,37407,374.1,654,18,4
004CaGe,tempo_random,34094,340.9,596,16,4
004CaGe,beatmove_adaptatif,38093,380.9,666,17,4
005DeJe,tempo_random,32148,321.5,562,16,4
005DeJe,beatmove_adaptatif,23159,231.6,405,16,4
006MoCa,silence,32696,327.0,572,16,4
006MoCa,tempo_random,17950,179.5,314,15,4
006MoCa,beatmove_adaptatif,38109,381.1,666,15,4
007MoMa,tempo_random,27487,274.9,481,15,4
008RiMo,silence,38112,381.1,666,16,4
008RiMo,beatmove_adaptatif,22205,222.1,388,17,4
009DeFr,silence,38145,381.4,667,16,4
009DeFr,tempo_random,16931,169.3,296,16,4
009DeFr,beatmove_adaptatif,26524,265.2,464,16,4
010DeYv,silence,38205,382.1,668,15,4
010DeYv,tempo_random,38185,381.9,668,15,4
010DeYv,beatmove_adaptatif,38190,381.9,668,16,4
011RiJo,silence,37995,379.9,664,16,4
011RiJo,tempo_random,38076,380.8,666,19,4
011RiJo,beatmove_adaptatif,38071,380.7,666,19,4
012WaCh,silence,38097,381.0,666,16,4
012WaCh,tempo_random,38102,381.0,666,16,4
012WaCh,beatmove_adaptatif,38070,380.7,666,17,4
013WaJe,silence,20839,208.4,364,17,4
013WaJe,tempo_random,38040,380.4,665,16,4
013WaJe,beatmove_adaptatif,38064,380.6,666,16,4
014DeAn,silence,38118,381.2,667,14,4
014DeAn,tempo_random,38131,381.3,667,14,4
014DeAn,beatmove_adaptatif,38147,381.5,667,15,4
