metric,condition,N,median,iqr,mean,sd
z_var,silence,10,3.82,4.877,5.396,3.944
z_var,tempo_random,10,8.01,6.282,7.875,4.505
z_var,beatmove_adaptatif,10,5.255,2.67,5.9,3.049
z_radius,silence,10,3.69,4.61,4.767,3.078
z_radius,tempo_random,10,5.275,3.358,5.353,2.591
z_radius,beatmove_adaptatif,10,4.675,2.098,5.259,3.029
ratio_var,silence,10,1.455,0.39,1.636,0.412
ratio_var,tempo_random,10,1.88,0.465,1.969,0.399
ratio_var,beatmove_adaptatif,10,1.535,0.49,1.72,0.434
ratio_radius,silence,10,1.24,0.163,1.299,0.164
ratio_radius,tempo_random,10,1.36,0.25,1.421,0.171
ratio_radius,beatmove_adaptatif,10,1.27,0.2,1.343,0.256
delta_cadence_hz,silence,8,0.0,0.153,-0.142,0.31
delta_cadence_hz,tempo_random,8,-0.016,0.236,-0.077,0.149
delta_cadence_hz,beatmove_adaptatif,8,-0.065,0.193,-0.134,0.176
