metric,pair,N_eff,W,p_uncorrected,p_bonf,r,sig_bonf
z_var,sil vs tem,8,8.0,0.1953,0.5859,0.495,ns
z_var,sil vs bea,8,13.0,0.5469,1.0,0.248,ns
z_var,tem vs bea,8,9.0,0.25,0.75,0.446,ns
z_radius,sil vs tem,8,14.5,0.6641,1.0,0.173,ns
z_radius,sil vs bea,8,16.0,0.8438,1.0,0.099,ns
z_radius,tem vs bea,8,17.0,0.9453,1.0,0.05,ns
ratio_var,sil vs tem,8,1.0,0.0156,0.0469,0.842,*
ratio_var,sil vs bea,7,12.0,0.8125,1.0,0.128,ns
ratio_var,tem vs bea,8,8.5,0.2031,0.6094,0.47,ns
ratio_radius,sil vs tem,7,2.0,0.0469,0.1406,0.767,ns
ratio_radius,sil vs bea,7,14.0,1.0,1.0,0.0,ns
ratio_radius,tem vs bea,8,10.0,0.3125,0.9375,0.396,ns
delta_cadence_hz,sil vs tem,6,8.0,0.6875,1.0,0.214,ns
delta_cadence_hz,sil vs bea,5,7.0,1.0,1.0,0.06,ns
delta_cadence_hz,tem vs bea,6,8.0,0.6875,1.0,0.214,ns
