participant,condition,crop_start_s,entry_postcrop,exit_postcrop,entry_raw,exit_raw,duration_s,n_segments,crf_entry_s,crf_exit_s,err_entry_s,err_exit_s
001CrMa,beatmove_adaptatif,60.0,193.36,197.54,253.36,257.54,4.18,1,253.0,257.0,0.36,0.54
001CrMa,silence,60.0,198.5,203.15,258.5,263.15,4.65,1,254.0,263.0,4.5,0.15
001CrMa,tempo_random,60.0,188.61,192.96,248.61,252.96,4.35,1,248.0,253.0,0.61,-0.04
002CrPa,beatmove_adaptatif,120.0,123.6,128.53,243.6,248.53,4.93,1,243.0,248.0,0.6,0.53
002CrPa,silence,60.0,217.43,222.38,277.43,282.38,4.96,1,277.0,282.0,0.43,0.38
002CrPa,tempo_random,60.0,182.78,187.73,242.78,247.73,4.95,1,242.0,247.0,0.78,0.73
003BrLu,beatmove_adaptatif,60.0,180.83,184.74,240.83,244.74,3.91,1,238.0,244.0,2.83,0.74
003BrLu,silence,72.0,163.14,167.11,235.14,239.11,3.97,1,235.42,239.27,-0.28,-0.16
003BrLu,tempo_random,60.0,190.81,194.66,250.81,254.66,3.84,1,251.22,254.75,-0.41,-0.09
004CaGe,beatmove_adaptatif,60.0,195.04,199.11,255.04,259.11,4.07,1,255.34,259.0,-0.3,0.11
004CaGe,silence,67.0,187.1,191.03,254.1,258.03,3.93,1,254.5,258.27,-0.4,-0.24
004CaGe,tempo_random,60.0,189.34,193.39,249.34,253.39,4.05,1,251.0,255.0,-1.66,-1.61
005DeJe,beatmove_adaptatif,60.0,190.89,194.3,250.89,254.3,3.41,1,251.0,254.26,-0.11,0.04
005DeJe,silence,60.0,187.99,191.6,247.99,251.6,3.62,1,,,,
005DeJe,tempo_random,80.0,165.55,169.06,245.55,249.06,3.51,1,248.51,251.89,-2.96,-2.82
006MoCa,beatmove_adaptatif,60.0,185.81,189.72,245.81,249.72,3.91,1,,,,
006MoCa,silence,60.0,194.01,198.05,254.01,258.05,4.04,1,253.92,257.53,0.09,0.52
006MoCa,tempo_random,60.0,184.5,187.94,244.5,247.94,3.44,1,244.0,247.0,0.5,0.94
007MoMa,tempo_random,60.0,183.69,187.81,243.69,247.81,4.12,1,243.0,247.5,0.69,0.31
008RiMo,beatmove_adaptatif,63.0,178.43,182.38,241.43,245.38,3.95,1,241.44,245.12,-0.01,0.25
008RiMo,silence,60.0,177.22,181.1,237.22,241.1,3.89,1,237.35,241.09,-0.13,0.01
008RiMo,tempo_random,60.0,175.48,179.19,235.48,239.19,3.71,1,235.59,238.87,-0.11,0.32
009DeFr,beatmove_adaptatif,60.0,190.01,193.76,250.01,253.76,3.75,1,250.59,253.98,-0.58,-0.22
009DeFr,silence,60.0,182.04,185.59,242.04,245.59,3.55,1,242.23,245.77,-0.19,-0.18
009DeFr,tempo_random,60.0,174.31,177.74,234.31,237.74,3.43,1,234.49,237.61,-0.18,0.12
010DeYv,beatmove_adaptatif,60.0,183.04,186.15,243.04,246.15,3.11,1,243.7,246.39,-0.66,-0.24
010DeYv,silence,60.0,181.98,184.93,241.98,244.93,2.95,1,242.2,244.86,-0.22,0.06
010DeYv,tempo_random,60.0,183.9,187.04,243.9,247.04,3.15,1,244.54,247.22,-0.64,-0.18
011RiJo,beatmove_adaptatif,60.0,188.8,193.08,248.8,253.08,4.28,1,248.6,252.54,0.2,0.54
011RiJo,silence,60.0,215.32,220.38,275.32,280.38,5.06,1,275.34,279.99,-0.02,0.39
011RiJo,tempo_random,60.0,181.99,186.22,241.99,246.22,4.23,1,235.0,260.0,6.99,-13.78
012WaCh,beatmove_adaptatif,60.0,197.64,200.55,257.64,260.55,2.91,1,257.91,261.88,-0.27,-1.33
012WaCh,silence,60.0,186.52,190.54,246.52,250.54,4.02,1,246.62,250.56,-0.1,-0.02
012WaCh,tempo_random,60.0,186.35,190.34,246.35,250.34,3.99,1,246.73,250.27,-0.38,0.07
013WaJe,beatmove_adaptatif,60.0,189.1,193.45,249.1,253.45,4.35,1,249.9,253.81,-0.8,-0.36
013WaJe,silence,60.0,183.81,188.41,243.81,248.41,4.6,1,244.06,248.26,-0.25,0.16
013WaJe,tempo_random,60.0,179.78,184.38,239.78,244.38,4.6,1,240.33,244.49,-0.55,-0.11
014DeAn,beatmove_adaptatif,60.0,224.69,228.22,284.69,288.22,3.53,1,285.18,288.39,-0.49,-0.17
014DeAn,silence,60.0,195.33,199.16,255.33,259.15,3.83,1,255.88,259.44,-0.55,-0.29
014DeAn,tempo_random,60.0,179.35,183.03,239.35,243.03,3.68,1,239.61,242.87,-0.26,0.16
015LaOd,beatmove_adaptatif,60.0,181.11,184.65,241.11,244.65,3.53,1,241.76,245.02,-0.65,-0.37
015LaOd,silence,60.0,185.63,189.21,245.63,249.21,3.58,1,245.72,248.92,-0.09,0.29
015LaOd,tempo_random,60.0,191.72,195.79,251.72,255.79,4.07,1,252.15,255.97,-0.43,-0.18
016LeSi,beatmove_adaptatif,60.0,181.45,187.22,241.45,247.22,5.77,1,241.8,247.21,-0.35,0.01
016LeSi,silence,60.0,183.14,188.57,243.14,248.57,5.43,1,242.74,247.89,0.4,0.69
016LeSi,tempo_random,60.0,184.47,187.84,244.47,247.84,3.37,2,244.67,249.43,-0.2,-1.59
