metric,condition,N,mean,sd,median,q25,q75,min,max
lag_time_s,silence,15,1.493,2.377,0.29,0,2.315,0,7.48
lag_time_s,tempo_random,16,0.361,0.566,0,0,0.465,0,1.67
lag_time_s,beatmove_adaptatif,15,1.366,2.479,0.31,0,1.38,0,9.07
n_steps_recovery,silence,14,12.714,21.606,7.5,1.25,12.25,0,84
n_steps_recovery,tempo_random,15,6.933,6.724,6,3,9,0,27
n_steps_recovery,beatmove_adaptatif,14,7,9.487,4,1,8.5,0,36
pct_T1,silence,15,73.007,9.746,74.3,68.75,80.8,51.9,86.4
pct_T1,tempo_random,16,72.138,6.902,69.6,67.25,75.95,63.5,85.3
pct_T1,beatmove_adaptatif,15,72.173,8.027,74.6,64.05,78.1,61.4,83.5
pct_T2,silence,15,20.7,8.603,20,13.8,24.2,8.8,39.5
pct_T2,tempo_random,16,21.844,6.122,23.7,18.625,26.3,10.3,30
pct_T2,beatmove_adaptatif,15,21.733,7.21,19,16.85,29.55,11.6,31.5
pct_T3,silence,15,3.78,1.232,3.7,3.05,4.55,2.1,6
pct_T3,tempo_random,16,3.5,0.953,3.35,3.1,4.35,1.7,4.8
pct_T3,beatmove_adaptatif,15,3.6,1.158,3.6,2.8,4.1,2,5.8
peak_distance_mm,silence,15,33.925,12.137,30.89,24.73,43.525,17.37,58.45
peak_distance_mm,tempo_random,16,40.428,11.372,41.22,28.882,49.375,25.04,57.1
peak_distance_mm,beatmove_adaptatif,14,34.376,10.716,31.12,28.26,36.665,18.95,58.74
peak_time_s,silence,15,1.197,1.305,0.75,0.115,1.88,0.01,3.94
peak_time_s,tempo_random,16,2.564,1.993,2.88,0.63,3.898,0.14,6.72
peak_time_s,beatmove_adaptatif,14,2.696,2.819,1.525,0.425,4.638,0.02,7.68
persistent_diff_15s,silence,15,-1.049,1.456,-1.166,-1.701,0.004,-3.984,1.052
persistent_diff_15s,tempo_random,16,-2.657,3.158,-2.284,-5.431,-0.442,-7.388,2.961
persistent_diff_15s,beatmove_adaptatif,15,-2.782,4.362,-2.007,-3.18,-0.632,-16.809,2.591
persistent_diff_30s,silence,15,-0.461,1.825,-0.676,-1.279,0.603,-3.334,3.469
persistent_diff_30s,tempo_random,16,-2.367,2.994,-1.363,-5.268,-0.722,-6.523,2.623
persistent_diff_30s,beatmove_adaptatif,15,-2.465,3.965,-1.51,-2.414,-0.605,-15.695,0.799
persistent_diff_45s,silence,15,-0.153,2.018,-0.538,-1.28,0.7,-3.165,3.906
persistent_diff_45s,tempo_random,16,-2.202,2.884,-1.248,-4.967,-0.607,-6.71,2.564
persistent_diff_45s,beatmove_adaptatif,15,-2.496,3.976,-1.627,-2.516,-0.944,-15.839,0.541
persistent_diff_60s,silence,15,-0.227,2.247,-1.081,-1.283,0.718,-3.566,4.64
persistent_diff_60s,tempo_random,16,-2.249,2.855,-1.221,-4.984,-0.591,-6.724,2.592
persistent_diff_60s,beatmove_adaptatif,15,-2.487,3.918,-1.253,-2.968,-0.724,-15.405,0.655
recovery_time_s,silence,14,5.759,11.985,2.41,0.633,3.22,0.01,46.22
recovery_time_s,tempo_random,15,2.618,2.929,2.29,0.6,3.295,0.01,12.06
recovery_time_s,beatmove_adaptatif,14,3.116,3.092,2.18,1.203,3.822,0.01,11.06
