metric,pair,N,statistic,p_uncorrected,p_holm,sig_holm,p_bonf,sig_bonf,r,magnitude
lag_time_s,sil vs tem,15,65,0.046,0.136,ns,0.136,ns,0.56,large
lag_time_s,sil vs bea,15,55,0.529,0.529,ns,1,ns,0.154,small
lag_time_s,tem vs bea,15,28,0.235,0.47,ns,0.705,ns,0.331,moderate
peak_time_s,sil vs tem,14,18,0.029,0.088,ns,0.088,ns,0.579,large
peak_time_s,sil vs bea,14,24,0.078,0.157,ns,0.236,ns,0.478,moderate
peak_time_s,tem vs bea,14,46,0.715,0.715,ns,1,ns,0.109,small
recovery_time_s,sil vs tem,13,42,0.839,1,ns,1,ns,0.068,small
recovery_time_s,sil vs bea,13,41,0.906,1,ns,1,ns,0.039,small
recovery_time_s,tem vs bea,13,40,0.735,1,ns,1,ns,0.107,small
peak_distance_mm,sil vs tem,14,27,0.119,0.357,ns,0.357,ns,0.428,moderate
peak_distance_mm,sil vs bea,14,48,0.808,0.808,ns,1,ns,0.075,small
peak_distance_mm,tem vs bea,14,68,0.358,0.716,ns,1,ns,0.26,small
n_steps_recovery,sil vs tem,13,39.5,0.593,1,ns,1,ns,0.185,small
n_steps_recovery,sil vs bea,13,39,0.624,1,ns,1,ns,0.097,small
n_steps_recovery,tem vs bea,13,41.5,0.806,1,ns,1,ns,0.078,small
persistent_diff_15s,sil vs tem,15,86,0.151,0.453,ns,0.453,ns,0.381,moderate
persistent_diff_15s,sil vs bea,15,83,0.208,0.453,ns,0.624,ns,0.337,moderate
persistent_diff_15s,tem vs bea,15,57,0.89,0.89,ns,1,ns,0.044,small
persistent_diff_30s,sil vs tem,15,94,0.055,0.166,ns,0.166,ns,0.499,moderate
persistent_diff_30s,sil vs bea,15,90,0.095,0.189,ns,0.284,ns,0.44,moderate
persistent_diff_30s,tem vs bea,15,55,0.804,0.804,ns,1,ns,0.073,small
persistent_diff_45s,sil vs tem,15,91,0.083,0.167,ns,0.25,ns,0.455,moderate
persistent_diff_45s,sil vs bea,15,97,0.035,0.106,ns,0.106,ns,0.543,large
persistent_diff_45s,tem vs bea,15,64,0.847,0.847,ns,1,ns,0.059,small
persistent_diff_60s,sil vs tem,15,89,0.107,0.219,ns,0.321,ns,0.425,moderate
persistent_diff_60s,sil vs bea,15,92,0.073,0.219,ns,0.219,ns,0.469,moderate
persistent_diff_60s,tem vs bea,15,62,0.934,0.934,ns,1,ns,0.029,small
pct_T1,sil vs tem,15,75.5,0.394,1,ns,1,ns,0.227,small
pct_T1,sil vs bea,15,70,0.599,1,ns,1,ns,0.147,small
pct_T1,tem vs bea,15,59,0.978,1,ns,1,ns,0.015,small
pct_T2,sil vs tem,15,39,0.252,0.756,ns,0.756,ns,0.308,moderate
pct_T2,sil vs bea,15,47,0.478,0.956,ns,1,ns,0.191,small
pct_T2,tem vs bea,15,62,0.934,0.956,ns,1,ns,0.029,small
pct_T3,sil vs tem,15,73,0.478,1,ns,1,ns,0.191,small
pct_T3,sil vs bea,15,69,0.629,1,ns,1,ns,0.132,small
pct_T3,tem vs bea,15,46.5,0.73,1,ns,1,ns,0.073,small
